structure_type,delta_l1_kgco2,delta_l2_kgco2,delta_l3_kgco2,delta_l4_kgco2,delta_l234_kgco2,delta_total_kgco2,delta_intensity_gpkwh
bottom_fixed,2558999.2200000007,-350.52197040012106,0.0,-53468.6743800001,-53819.19635040022,2505180.0236495994,1.906529698363471
fawt,711865.957741715,0.0,-4336.338521519989,-110667.34541880549,-115003.68394032549,596862.2738013864,0.43260293817596995
onshore,2672436.7156540006,-5334.875,-941.169777401723,-42100.04304999771,-48376.08782739943,2624060.6278266013,2.662669333157382
semisubmersible,2395407.8475,0.0,-8045.403749999998,-91818.6264562502,-99864.0302062502,2295543.8172937483,1.6637992442514662
spar,2786165.9399999995,0.0,-11709.127500000002,-80838.64992999984,-92547.77742999984,2693618.1625700034,1.9523216370008
