structure_type,gfrp,cfrp,rcfrp,rrcfrp
onshore,11.771493536351745,13.386054459907312,11.643066763939776,11.627174815713174
bottom_fixed,11.94694267085784,13.101355951184782,11.978828074641784,12.043368392286682
semisubmersible,17.65281615729549,18.553716535239705,17.765821674510168,18.077179246963365
spar,18.336465437480687,19.61002809378927,18.74989174674258,19.061735756348742
fawt,15.328914070838216,15.123019744252929,14.455438201360996,14.813062783789189
