scenario,effective_cf,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh,rank
cf_equalized_030,0.3,onshore,10.0,cfrp,14.210896887228026,1.0
cf_equalized_030,0.3,onshore,10.0,rcfrp,12.409489394599468,1.0
cf_equalized_030,0.3,onshore,10.0,rrcfrp,12.390844742191968,1.0
cf_equalized_030,0.3,onshore,15.0,gfrp,11.771493536351745,1.0
cf_equalized_030,0.3,onshore,15.0,cfrp,13.386054459907312,1.0
cf_equalized_030,0.3,onshore,15.0,rcfrp,11.643066763939776,1.0
cf_equalized_030,0.3,onshore,15.0,rrcfrp,11.627174815713174,1.0
cf_equalized_030,0.3,bottom_fixed,2.0,gfrp,24.267786596828376,2.0
cf_equalized_030,0.3,bottom_fixed,2.0,cfrp,26.136628841488942,2.0
cf_equalized_030,0.3,bottom_fixed,2.0,rcfrp,24.365552254335874,2.0
cf_equalized_030,0.3,bottom_fixed,2.0,rrcfrp,24.4465248386284,2.0
cf_equalized_030,0.3,bottom_fixed,5.0,gfrp,18.84617236846231,2.0
cf_equalized_030,0.3,bottom_fixed,5.0,cfrp,20.5584074039711,2.0
cf_equalized_030,0.3,bottom_fixed,5.0,rcfrp,18.9176197422029,2.0
cf_equalized_030,0.3,bottom_fixed,5.0,rrcfrp,19.00104093429764,2.0
cf_equalized_030,0.3,bottom_fixed,10.0,gfrp,16.75119514621141,2.0
cf_equalized_030,0.3,bottom_fixed,10.0,cfrp,18.352475360753502,2.0
cf_equalized_030,0.3,bottom_fixed,10.0,rcfrp,16.80406915372478,2.0
cf_equalized_030,0.3,bottom_fixed,10.0,rrcfrp,16.88918802166914,2.0
cf_equalized_030,0.3,bottom_fixed,15.0,gfrp,15.929256894477122,2.0
cf_equalized_030,0.3,bottom_fixed,15.0,cfrp,17.46847460157971,2.0
cf_equalized_030,0.3,bottom_fixed,15.0,rcfrp,15.971770766189048,2.0
cf_equalized_030,0.3,bottom_fixed,15.0,rrcfrp,16.057824523048915,2.0
cf_equalized_030,0.3,semisubmersible,2.0,gfrp,33.39334288782707,5.0
cf_equalized_030,0.3,semisubmersible,2.0,cfrp,34.98231569340864,5.0
cf_equalized_030,0.3,semisubmersible,2.0,rcfrp,33.650625634235844,5.0
cf_equalized_030,0.3,semisubmersible,2.0,rrcfrp,34.109217879251034,5.0
cf_equalized_030,0.3,semisubmersible,5.0,gfrp,27.777736131067577,5.0
cf_equalized_030,0.3,semisubmersible,5.0,cfrp,29.22906490001904,5.0
cf_equalized_030,0.3,semisubmersible,5.0,rcfrp,27.99994467188538,5.0
cf_equalized_030,0.3,semisubmersible,5.0,rrcfrp,28.43879003740662,5.0
cf_equalized_030,0.3,semisubmersible,10.0,gfrp,25.56949118760116,5.0
cf_equalized_030,0.3,semisubmersible,10.0,cfrp,26.898935942795752,5.0
cf_equalized_030,0.3,semisubmersible,10.0,rcfrp,25.750649327086382,5.0
cf_equalized_030,0.3,semisubmersible,10.0,rrcfrp,26.187620303160216,5.0
cf_equalized_030,0.3,semisubmersible,15.0,gfrp,24.713942620213686,5.0
cf_equalized_030,0.3,semisubmersible,15.0,cfrp,25.975203149335588,5.0
cf_equalized_030,0.3,semisubmersible,15.0,rcfrp,24.872150344314235,5.0
cf_equalized_030,0.3,semisubmersible,15.0,rrcfrp,25.30805094574871,5.0
cf_equalized_030,0.3,spar,2.0,gfrp,32.07451695454934,4.0
cf_equalized_030,0.3,spar,2.0,cfrp,34.06746039417443,4.0
