structure_type,rated_power_mw,material_model,credit50,current,cutoff,delta_cutoff_vs_current_gpkwh,delta_credit50_vs_current_gpkwh,check_cutoff_ge_current,check_current_ge_credit50
bottom_fixed,2.0,cfrp,18.64674245828559,19.602471631116707,20.55820080394782,0.9557291728311128,-0.9557291728311164,True,True
bottom_fixed,2.0,gfrp,17.192177883975493,18.20083994762128,19.209502011267062,1.008662063645783,-1.0086620636457866,True,True
bottom_fixed,2.0,rcfrp,17.30743035022541,18.274164190751904,19.2408980312784,0.9667338405264978,-0.9667338405264942,True,True
bottom_fixed,2.0,rrcfrp,17.3505523201322,18.334893628971297,19.319234937810407,0.9843413088391095,-0.9843413088390989,True,True
bottom_fixed,5.0,cfrp,14.482258824138617,15.418805552978322,16.355352281818032,0.9365467288397102,-0.9365467288397049,True,True
bottom_fixed,5.0,gfrp,13.14576241665685,14.13462927634673,15.123496136036612,0.9888668596898817,-0.98886685968988,True,True
bottom_fixed,5.0,rcfrp,13.240789441514623,14.188214806652171,15.13564017178972,0.9474253651375495,-0.9474253651375477,True,True
bottom_fixed,5.0,rrcfrp,13.285949517509138,14.250780700723231,15.215611883937326,0.9648311832140948,-0.964831183214093,True,True
bottom_fixed,10.0,cfrp,12.841821537821836,13.764356520565125,14.68689150330841,0.9225349827432847,-0.9225349827432883,True,True
bottom_fixed,10.0,gfrp,11.588990756212906,12.563396359658556,13.537801963104206,0.9744056034456499,-0.9744056034456499,True,True
bottom_fixed,10.0,rcfrp,11.669730740321056,12.603051865293583,13.536372990266113,0.9333211249725295,-0.9333211249725277,True,True
bottom_fixed,10.0,rrcfrp,11.716312063712538,12.666891016251853,13.617469968791172,0.9505789525393187,-0.9505789525393151,True,True
bottom_fixed,15.0,cfrp,12.186824260225876,13.101355951184782,14.015887642143683,0.914531690958901,-0.9145316909589063,True,True
bottom_fixed,15.0,gfrp,10.980797879761948,11.94694267085784,12.913087461953731,0.9661447910958909,-0.9661447910958927,True,True
bottom_fixed,15.0,rcfrp,11.05356324566918,11.978828074641784,12.904092903614387,0.9252648289726029,-0.9252648289726046,True,True
bottom_fixed,15.0,rrcfrp,11.10093054249216,12.043368392286682,12.9858062420812,0.9424378497945174,-0.9424378497945227,True,True
fawt,2.0,cfrp,18.887483448977168,21.27393419670768,23.14900264135309,1.875068444645411,-2.3864507477305104,True,True
fawt,2.0,gfrp,18.843852510702128,21.455149833385015,23.50688344406443,2.051733610679417,-2.611297322682887,True,True
fawt,2.0,rcfrp,18.040673148089404,20.47630908409075,22.390023033806095,1.9137139497153441,-2.435635936001347,True,True
fawt,2.0,rrcfrp,18.37161938445398,20.87751987512794,22.84644168922891,1.9689218141009697,-2.5059004906739624,True,True
fawt,5.0,cfrp,15.07033984688877,17.369137032071553,19.175334820429452,1.806197788357899,-2.2987971851827833,True,True
fawt,5.0,gfrp,15.066149120362104,17.58213991724912,19.558989829088915,1.9768499118397962,-2.5159907968870154,True,True
fawt,5.0,rcfrp,14.291335923480515,16.6376442112236,18.481172151593167,1.8435279403695688,-2.346308287743083,True,True
fawt,5.0,rrcfrp,14.610251890477285,17.024433181877942,18.9212899108356,1.8968567289576583,-2.4141812914006575,True,True
fawt,10.0,cfrp,13.566336448512375,15.801098398836626,17.556982788377105,1.7558843895404799,-2.23476195032425,True,True
fawt,10.0,gfrp,13.55374430685807,16.00009681146726,17.922230922231623,1.9221341107643646,-2.446352504609189,True,True
fawt,10.0,rcfrp,12.82932499437347,15.110372378447549,16.90262389450575,1.7922515160582027,-2.2810473840740784,True,True
fawt,10.0,rrcfrp,13.128491635032114,15.475661067320235,17.319865621260902,1.844204553940667,-2.347169432288121,True,True
fawt,15.0,cfrp,12.924836067822278,15.123019744252929,16.85016406144843,1.7271443171955028,-2.1981836764306504,True,True
fawt,15.0,gfrp,12.92234522640027,15.328914070838216,17.21978959146803,1.8908755206298125,-2.406568844437947,True,True
fawt,15.0,rcfrp,12.211670269428756,14.455438201360996,16.218398719307757,1.7629605179467607,-2.24376793193224,True,True
fawt,15.0,rrcfrp,12.504174486854668,14.813062783789189,16.627189302809175,1.814126519019986,-2.308888296934521,True,True
onshore,2.0,cfrp,20.791906410873658,21.715627367169795,23.101208801614007,1.3855814344442123,-0.9237209562961368,True,True
onshore,2.0,gfrp,18.869001629959502,19.840144525900467,21.29685886981191,1.4567143439114432,-0.9711428959409645,True,True
onshore,2.0,rcfrp,18.74105827700219,19.670250995565045,21.064040073409323,1.3937890778442785,-0.9291927185628559,True,True
onshore,2.0,rrcfrp,18.715402891907495,19.657363055759337,21.070303301537106,1.4129402457777687,-0.9419601638518422,True,True
onshore,5.0,cfrp,15.455550613186118,16.347366035032437,17.685089167801912,1.3377231327694759,-0.891815421846319,True,True
onshore,5.0,gfrp,13.62234400480884,14.560238507876193,15.967080262477218,1.4068417546010252,-0.9378945030673531,True,True
onshore,5.0,rcfrp,13.544326082462934,14.44145832137322,15.787156679738642,1.3456983583654214,-0.8971322389102863,True,True
onshore,5.0,rrcfrp,13.508041619079377,14.417579764472244,15.781886982561549,1.364307218089305,-0.909538145392867,True,True
onshore,10.0,cfrp,13.3424281438217,14.210896887228026,15.513600002337515,1.3027031151094892,-0.8684687434063267,True,True
onshore,10.0,gfrp,11.62126785594603,12.534827197699116,13.905166210328746,1.3703390126296302,-0.9135593417530856,True,True
onshore,10.0,rcfrp,11.535817889845438,12.409489394599468,13.719996651730511,1.310507257131043,-0.8736715047540304,True,True
onshore,10.0,rrcfrp,11.505033460959964,12.390844742191968,13.719561664039976,1.3287169218480077,-0.8858112812320034,True,True
onshore,15.0,cfrp,12.530936857512298,13.386054459907312,14.66873086349983,1.282676403592518,-0.8551176023950138,True,True
onshore,15.0,gfrp,10.871852923482615,11.771493536351745,13.120954455655436,1.3494609193036915,-0.8996406128691294,True,True
onshore,15.0,rcfrp,10.78281189110544,11.643066763939776,12.933449073191277,1.2903823092515,-0.8602548728343358,True,True
onshore,15.0,rrcfrp,10.754932978520424,11.627174815713174,12.935537571502296,1.3083627557891226,-0.8722418371927496,True,True
semisubmersible,2.0,cfrp,22.93249798900216,24.987368352434743,26.357281928056462,1.3699135756217196,-2.054870363432581,True,True
semisubmersible,2.0,gfrp,21.695007809149377,23.852387777019334,25.29064108893264,1.4382533119133072,-2.1573799678699572,True,True
semisubmersible,2.0,rcfrp,21.94725195208412,24.036161167311317,25.42876731079611,1.3926061434847945,-2.088909215227197,True,True
semisubmersible,2.0,rrcfrp,22.22375956368877,24.36372705660788,25.79037205188729,1.4266449952794105,-2.1399674929191086,True,True
semisubmersible,5.0,cfrp,18.843215342846847,20.8779035000136,22.2343622714581,1.356458771444501,-2.0346881571667517,True,True
semisubmersible,5.0,gfrp,17.704701666148342,19.841240093619696,21.26559904526727,1.424358951647573,-2.136538427471354,True,True
semisubmersible,5.0,rcfrp,17.931443988629507,19.99996047991813,21.378971474110543,1.379010994192413,-2.068516491288623,True,True
semisubmersible,5.0,rrcfrp,18.194162462819005,20.31342145529044,21.72626078360472,1.412839328314277,-2.119258992471437,True,True
semisubmersible,10.0,cfrp,17.193650073515787,19.213525673425536,20.5601094066987,1.3465837332731638,-2.0198755999097493,True,True
semisubmersible,10.0,gfrp,16.142680027711958,18.263922276857972,19.678083776288645,1.4141614994306728,-2.1212422491460146,True,True
semisubmersible,10.0,rcfrp,16.339771653105938,18.393320947918845,19.76235381112745,1.3690328632086057,-2.053549294812907,True,True
semisubmersible,10.0,rrcfrp,16.601383236518224,18.70544307368587,20.108149631797644,1.402706558111774,-2.1040598371676467,True,True
semisubmersible,15.0,cfrp,16.542329321524765,18.553716535239705,19.894641344382993,1.3409248091432886,-2.01138721371494,True,True
semisubmersible,15.0,gfrp,15.54033933570384,17.65281615729549,19.06113403835659,1.4083178810611017,-2.1124768215916507,True,True
semisubmersible,15.0,rcfrp,15.720849436578009,17.765821674510168,19.129136499798275,1.363314825288107,-2.044972237932159,True,True
semisubmersible,15.0,rrcfrp,15.981829472705371,18.077179246963365,19.474079096468692,1.3968998495053278,-2.0953497742579934,True,True
spar,2.0,cfrp,25.33810698513225,26.895363469085076,27.93353445838697,1.0381709893018929,-1.557256483952827,True,True
spar,2.0,gfrp,23.707363880812636,25.321987069381056,26.398402528426654,1.0764154590455988,-1.6146231885684195,True,True
spar,2.0,rcfrp,24.268974553178676,25.851068908614685,26.905798478905364,1.0547295702906787,-1.5820943554360092,True,True
spar,2.0,rrcfrp,24.56001194501678,26.174115010012912,27.25018372001033,1.0760687099974184,-1.614103064996133,True,True
spar,5.0,cfrp,20.670053298336647,22.204882967259508,23.228102746541417,1.0232197792819093,-1.5348296689228604,True,True
spar,5.0,gfrp,19.180574188113,20.772105925553554,21.833127083847256,1.061021158293702,-1.5915317374405547,True,True
spar,5.0,rcfrp,19.687863859159087,21.24725900270893,22.286855765075497,1.0395967623665676,-1.5593951435498425,True,True
spar,5.0,rrcfrp,19.972956203256455,21.564004579997995,22.62470349782569,1.0606989178276933,-1.59104837674154,True,True
spar,10.0,cfrp,18.830259366726622,20.34863007110874,21.360877207363483,1.012247136254743,-1.518370704382118,True,True
spar,10.0,gfrp,17.443362204577383,19.017947876695647,20.06767165810782,1.0497237814121725,-1.574585672118264,True,True
