scenario_name,structure_type,rated_power_mw,material_model,site_class,assumption_point,fawt_arm_center_share,lifetime_years,capacity_factor,component_total_mass_kg,l1_manufacturing_kgco2,l2_transport_kgco2,l3_o_and_m_kgco2,l4_eol_kgco2,l2_proxy_kgco2,l2_event_kgco2,l3_event_kgco2,l4_event_kgco2,total_gwp_kgco2,intensity_gco2_per_kwh,energy_generation_mwh,weight_cascade_iterations,weight_cascade_converged,rr_rc_net_delta_gpkwh,rr_rc_core_mass_penalty_effect_gpkwh,rr_rc_material_factor_benefit_gpkwh
matrix-semisubmersible-5mw-gfrp,semisubmersible,5.0,gfrp,baseline,base,,25,0.42,7373120.961336348,7435278.609448086,1012187.4971607383,36865.604806681746,640654.6076401935,88477.45153603617,1012187.4971607383,36865.604806681746,640654.6076401935,9124986.319055699,19.841240093619696,459900.0,0,True,,,
matrix-semisubmersible-5mw-cfrp,semisubmersible,5.0,cfrp,baseline,base,,25,0.42,6834067.909143407,7946763.965124821,1012187.4971607383,34170.33954571703,608626.0178249772,82008.81490972088,1012187.4971607383,34170.33954571703,608626.0178249772,9601747.819656255,20.8779035000136,459900.0,0,True,,,
matrix-semisubmersible-5mw-rcfrp,semisubmersible,5.0,rcfrp,baseline,base,,25,0.42,7011588.179679352,7532765.622565159,1012187.4971607383,35057.94089839676,617970.7640900542,84139.05815615223,1012187.4971607383,35057.94089839676,617970.7640900542,9197981.824714348,19.99996047991813,459900.0,0,True,0.3134609753723072,0.7595422686245793,-0.44608129325227214
matrix-semisubmersible-5mw-rrcfrp,semisubmersible,5.0,rrcfrp,baseline,base,,25,0.42,7277868.585483271,7661577.803712246,1012187.4971607383,36389.34292741636,631987.8834876696,87334.42302579925,1012187.4971607383,36389.34292741636,631987.8834876696,9342142.527288072,20.313421455290438,459900.0,0,True,0.3134609753723072,0.7595422686245793,-0.44608129325227214
matrix-semisubmersible-10mw-gfrp,semisubmersible,10.0,gfrp,baseline,base,,25,0.42,14685841.946078142,14557002.380020931,1020102.8208706832,73429.20973039072,1148621.2996319574,176230.1033529377,1020102.8208706832,73429.20973039072,1148621.2996319574,16799155.71025396,18.263922276857972,919800.0,0,True,,,
matrix-semisubmersible-10mw-cfrp,semisubmersible,10.0,cfrp,baseline,base,,25,0.42,13611182.209899353,15498055.216893392,1020102.8208706832,68055.91104949676,1086386.9656032368,163334.18651879224,1020102.8208706832,68055.91104949676,1086386.9656032368,17672600.91441681,19.213525673425536,919800.0,0,True,,,
matrix-semisubmersible-10mw-rcfrp,semisubmersible,10.0,rcfrp,baseline,base,,25,0.42,13965307.432725672,14723634.76379941,1020102.8208706832,69826.53716362835,1104612.486062035,167583.68919270806,1020102.8208706832,69826.53716362835,1104612.486062035,16918176.607895754,18.393320947918845,919800.0,0,True,0.312122125767028,0.6996128345804442,-0.3874907088134162
matrix-semisubmersible-10mw-rrcfrp,semisubmersible,10.0,rrcfrp,baseline,base,,25,0.42,14496495.266965145,14980730.475220527,1020102.8208706832,72482.47633482573,1131950.7667502316,173957.94320358173,1020102.8208706832,72482.47633482573,1131950.7667502316,17205266.539176267,18.705443073685874,919800.0,0,True,0.312122125767028,0.6996128345804442,-0.3874907088134162
matrix-semisubmersible-15mw-gfrp,semisubmersible,15.0,gfrp,baseline,base,,25,0.42,21977588.0,21570947.37647059,1027813.5,109887.94,1646941.63575,263731.056,1027813.5,109887.94,1646941.63575,24355590.45222059,17.65281615729549,1379700.0,0,True,,,
matrix-semisubmersible-15mw-cfrp,semisubmersible,15.0,cfrp,baseline,base,,25,0.42,20368507.25,22913783.65812647,1027813.5,101842.53625,1555123.0092937497,244422.08699999997,1027813.5,101842.53625,1555123.0092937497,25598562.70367022,18.553716535239705,1379700.0,0,True,,,
matrix-semisubmersible-15mw-rcfrp,semisubmersible,15.0,rcfrp,baseline,base,,25,0.42,20898921.5,21797125.115209177,1027813.5,104494.60750000001,1582070.9416124998,250787.05800000002,1027813.5,104494.60750000001,1582070.9416124998,24511504.16432168,17.765821674510168,1379700.0,0,True,0.31135757245319684,0.6763443495722293,-0.36498677711903255
matrix-semisubmersible-15mw-rrcfrp,semisubmersible,15.0,rrcfrp,baseline,base,,25,0.42,21694542.875,22182305.15256973,1027813.5,108472.71437500001,1622492.8400906248,260334.5145,1027813.5,108472.71437500001,1622492.8400906248,24941084.207035355,18.077179246963365,1379700.0,0,True,0.31135757245319684,0.6763443495722293,-0.36498677711903255
matrix-spar-2mw-gfrp,spar,2.0,gfrp,baseline,base,,25,0.38,5465964.02340658,2865332.955567522,1007250.3790974106,28696.311122884545,313311.8820399653,73790.51431598882,1007250.3790974106,28696.311122884545,313311.8820399653,4214591.527827783,25.321987069381056,166440.0,0,True,,,
matrix-spar-2mw-cfrp,spar,2.0,cfrp,baseline,base,,25,0.38,5166545.883864156,3141233.760303972,1007250.3790974106,27124.365890286816,300855.79050285113,69748.3694321661,1007250.3790974106,27124.365890286816,300855.79050285113,4476464.2957945205,26.895363469085076,166440.0,0,True,,,
matrix-spar-2mw-rcfrp,spar,2.0,rcfrp,baseline,base,,25,0.38,5295868.48189715,2962322.103561966,1007250.3790974106,27803.30952996004,305276.1169604918,71494.22450561154,1007250.3790974106,27803.30952996004,305276.1169604918,4302651.909149828,25.851068908614685,166440.0,0,True,0.32304610139822393,0.8139670155428019,-0.49092091414457795
matrix-spar-2mw-rrcfrp,spar,2.0,rrcfrp,baseline,base,,25,0.38,5462618.347372945,3009237.121985159,1007250.3790974106,28678.746323707965,311253.4548602717,73745.34768953476,1007250.3790974106,28678.746323707965,311253.4548602717,4356419.702266549,26.174115010012912,166440.0,0,True,0.32304610139822393,0.8139670155428019,-0.49092091414457795
matrix-spar-5mw-gfrp,spar,5.0,gfrp,baseline,base,,25,0.38,13621974.996309822,6938035.922073844,1012187.4971607383,71515.36873062656,621534.4876576241,183896.6624501826,1012187.4971607383,71515.36873062656,621534.4876576241,8643273.275622834,20.772105925553554,416100.0,0,True,,,
matrix-spar-5mw-cfrp,spar,5.0,cfrp,baseline,base,,25,0.38,12875844.629155135,7566526.824488074,1012187.4971607383,67598.18430306445,593139.2967248058,173823.9024935943,1012187.4971607383,67598.18430306445,593139.2967248058,9239451.802676681,22.204882967259508,416100.0,0,True,,,
matrix-spar-5mw-rcfrp,spar,5.0,rcfrp,baseline,base,,25,0.38,13198390.164556134,7156334.402010615,1012187.4971607383,69291.5483639197,603171.0234919136,178178.26722150782,1012187.4971607383,69291.5483639197,603171.0234919136,8840984.471027186,21.24725900270893,416100.0,0,True,0.31674557728906416,0.6693893395914672,-0.3526437623024031
matrix-spar-5mw-rrcfrp,spar,5.0,rrcfrp,baseline,base,,25,0.38,13614201.995851472,7272368.098972585,1012187.4971607383,71474.56047822023,616752.1491256233,183791.72694399487,1012187.4971607383,71474.56047822023,616752.1491256233,8972782.305737166,21.564004579997995,416100.0,0,True,0.31674557728906416,0.6693893395914672,-0.3526437623024031
matrix-spar-10mw-gfrp,spar,10.0,gfrp,baseline,base,,25,0.38,27182271.146940555,13554332.243131436,1020102.8208706832,142706.9235214379,1109594.2354625596,366960.6604836975,1020102.8208706832,142706.9235214379,1109594.2354625596,15826736.222986117,19.017947876695647,832200.0,0,True,,,
matrix-spar-10mw-cfrp,spar,10.0,cfrp,baseline,base,,25,0.38,25693458.650455,14724475.557751052,1020102.8208706832,134890.65791488875,1054660.9086400708,346861.69178114255,1020102.8208706832,134890.65791488875,1054660.9086400708,16934129.945176695,20.34863007110874,832200.0,0,True,,,
matrix-spar-10mw-rcfrp,spar,10.0,rcfrp,baseline,base,,25,0.38,26337460.41114581,13956671.547888223,1020102.8208706832,138271.66715851548,1074169.87118748,355555.7155504684,1020102.8208706832,138271.66715851548,1074169.87118748,16189215.907104902,19.453515870109232,832200.0,0,True,0.3136137840552943,0.6131353559108813,-0.299521571855587
matrix-spar-10mw-rrcfrp,spar,10.0,rrcfrp,baseline,base,,25,0.38,27167563.733897306,14186927.268134374,1020102.8208706832,142629.70960296085,1100545.4995877002,366762.1104076136,1020102.8208706832,142629.70960296085,1100545.4995877002,16450205.298195718,19.767129654164528,832200.0,0,True,0.3136137840552943,0.6131353559108813,-0.299521571855587
matrix-spar-15mw-gfrp,spar,15.0,gfrp,baseline,base,,25,0.38,40721158.0,20060069.84285714,1027813.5,213786.0795,1587740.38325,549735.633,1027813.5,213786.0795,1587740.38325,22889409.80560714,18.336465437480687,1248300.0,0,True,,,
matrix-spar-15mw-cfrp,spar,15.0,cfrp,baseline,base,,25,0.38,38490848.0,21742405.884157144,1027813.5,202076.952,1506901.7333199999,519626.4479999999,1027813.5,202076.952,1506901.7333199999,24479198.069477145,19.61002809378927,1248300.0,0,True,,,
matrix-spar-15mw-rcfrp,spar,15.0,rcfrp,baseline,base,,25,0.38,39455930.125,20634834.03876314,1027813.5,207143.63315625,1535698.6955393746,532655.0566875,1027813.5,207143.63315625,1535698.6955393746,23405489.867458764,18.74989174674258,1248300.0,0,True,0.31184400960616515,0.5911011140603791,-0.279257104454214
matrix-spar-15mw-rrcfrp,spar,15.0,rrcfrp,baseline,base,,25,0.38,40699801.0,20978676.80040014,1027813.5,213673.95524999997,1574600.4889999998,549447.3134999999,1027813.5,213673.95524999997,1574600.4889999998,23794764.74465014,19.061735756348746,1248300.0,0,True,0.31184400960616515,0.5911011140603791,-0.279257104454214
matrix-fawt-2mw-gfrp,fawt,2.0,gfrp,baseline,base,,25,0.4,1636646.702529068,2648047.8287201785,896675.4452575373,6955.748485748539,207263.2283455907,22094.73048414242,896675.4452575373,6955.748485748539,207263.2283455907,3758942.250809055,21.455149833385015,175200.0,0,True,,,
matrix-fawt-2mw-cfrp,fawt,2.0,cfrp,baseline,base,,25,0.4,1486791.937598893,2641749.097702988,888423.4158728087,6318.865734795296,190701.8919525941,20071.691157585054,888423.4158728087,6318.865734795296,190701.8919525941,3727193.271263186,21.273934196707682,175200.0,0,True,,,
matrix-fawt-2mw-rcfrp,fawt,2.0,rcfrp,baseline,base,,25,0.4,1519572.6674273687,2496437.936106853,890228.547300718,6458.183836566317,194324.68428856213,20514.23101026948,890228.547300718,6458.183836566317,194324.68428856213,3587449.3515326995,20.47630908409075,175200.0,0,True,0.40121079103718993,0.6310311260132397,-0.2298203349760499
matrix-fawt-2mw-rrcfrp,fawt,2.0,rrcfrp,baseline,base,,25,0.4,1566402.2814680485,2558776.8640313568,892807.3064834458,6657.209696239207,199500.10191137355,21146.430799818652,892807.3064834458,6657.209696239207,199500.10191137355,3657741.482122415,20.87751987512794,175200.0,0,True,0.40121079103718993,0.6310311260132397,-0.2298203349760499
matrix-fawt-5mw-gfrp,fawt,5.0,gfrp,baseline,base,,25,0.4,3924783.921278032,6355323.489309126,945086.481185685,16680.331665431637,383886.9815948717,52984.58293725343,945086.481185685,16680.331665431637,383886.9815948717,7700977.283755114,17.58213991724912,438000.0,0,True,,,
matrix-fawt-5mw-cfrp,fawt,5.0,cfrp,baseline,base,,25,0.4,3566323.316112734,6322067.614985841,925846.5258661351,15156.87409347912,344611.0051018842,48145.3647675219,925846.5258661351,15156.87409347912,344611.0051018842,7607682.02004734,17.369137032071553,438000.0,0,True,,,
matrix-fawt-5mw-rcfrp,fawt,5.0,rcfrp,baseline,base,,25,0.4,3644736.5734926425,5988540.143026582,930055.2660922867,15490.13043734373,353202.6249597252,49203.943742150674,930055.2660922867,15490.13043734373,353202.6249597252,7287288.164515937,16.6376442112236,438000.0,0,True,0.3867889706543413,0.5113486849652028,-0.12455971431086152
matrix-fawt-5mw-rrcfrp,fawt,5.0,rrcfrp,baseline,base,,25,0.4,3756755.512606798,6139191.402990529,936067.752129646,15966.210928578894,365476.36761378375,50716.19942019177,936067.752129646,15966.210928578894,365476.36761378375,7456701.733662538,17.024433181877942,438000.0,0,True,0.3867889706543413,0.5113486849652028,-0.12455971431086152
matrix-fawt-10mw-gfrp,fawt,10.0,gfrp,baseline,base,,25,0.4,7606868.0619401,12325683.396137986,990494.5,32329.18926324543,667577.7214440898,102692.71883619134,990494.5,32329.18926324543,667577.7214440898,14016084.80684532,16.00009681146726,876000.0,0,True,,,
matrix-fawt-10mw-cfrp,fawt,10.0,cfrp,baseline,base,,25,0.4,6913364.4153964715,12235132.128871206,985170.6102688507,29381.798765435007,592077.6594753921,93330.41960785237,985170.6102688507,29381.798765435007,592077.6594753921,13841762.197380884,15.801098398836626,876000.0,0,True,,,
matrix-fawt-10mw-rcfrp,fawt,10.0,rcfrp,baseline,base,,25,0.4,7065068.338077891,11610103.174392171,987963.1906600063,30026.540436831037,608593.2980310447,95378.42256405152,987963.1906600063,30026.540436831037,608593.2980310447,13236686.203520052,15.110372378447549,876000.0,0,True,0.3652886888726878,0.46350835917464245,-0.09821967030195465
matrix-fawt-10mw-rrcfrp,fawt,10.0,rrcfrp,baseline,base,,25,0.4,7281788.2276227735,11903786.26449221,989758.1631166574,30947.599967396793,632187.0673962627,98304.14107290744,989758.1631166574,30947.599967396793,632187.0673962627,13556679.094972527,15.475661067320235,876000.0,0,True,0.3652886888726878,0.46350835917464245,-0.09821967030195465
matrix-fawt-15mw-gfrp,fawt,15.0,gfrp,baseline,base,,25,0.4,11202961.493789999,18159779.34505106,990494.5,47612.586348607496,944306.6576817475,151239.98016616498,990494.5,47612.586348607496,944306.6576817475,20142193.089081418,15.328914070838216,1314000.0,0,True,,,
matrix-fawt-15mw-cfrp,fawt,15.0,cfrp,baseline,base,,25,0.4,10182646.54755,18004237.883858316,990494.5,43276.24782708751,833639.3122629421,137465.728391925,990494.5,43276.24782708751,833639.3122629421,19871647.943948343,15.123019744252927,1314000.0,0,True,,,
matrix-fawt-15mw-rcfrp,fawt,15.0,rcfrp,baseline,base,,25,0.4,10405840.442039998,17101878.680636372,990494.5,44224.821878669994,857847.7940733058,140478.84596753996,990494.5,44224.821878669994,857847.7940733058,18994445.79658835,14.455438201360996,1314000.0,0,True,0.3576245824281931,0.4429333379367918,-0.08530875550859868
matrix-fawt-15mw-rrcfrp,fawt,15.0,rrcfrp,baseline,base,,25,0.4,10724688.86274,17535858.73071567,990494.5,45579.927666645,892431.3395166823,144783.29964699,990494.5,45579.927666645,892431.3395166823,19464364.497898996,14.813062783789189,1314000.0,0,True,0.3576245824281931,0.4429333379367918,-0.08530875550859868
