n_samples,mean_onshore,mean_bottom_fixed,support_frequency_bottom_fixed_vs_onshore
100,9.947127780636842,9.292151906377931,0.73
200,9.90157353708701,9.315808159527391,0.695
300,9.9015449595247,9.286731836543531,0.6833333333333333
400,9.874842803312907,9.281081245024447,0.6875
500,9.86697750428714,9.274256249979135,0.69
600,9.879554134970537,9.276676465872843,0.695
700,9.866915318413072,9.265941823749394,0.6885714285714286
800,9.880376937988492,9.25001647197617,0.69625
900,9.870742237249853,9.251701490186564,0.69
1000,9.868462135282975,9.243420420685627,0.691
1100,9.858099116222805,9.238442395458543,0.6872727272727273
1200,9.852002118808787,9.239289166509474,0.6825
1300,9.851267237523667,9.238650986626157,0.683076923076923
1400,9.852796796249667,9.246107005621953,0.6828571428571428
1500,9.84835053162532,9.252166892208963,0.678
1600,9.853305973103506,9.258512438521903,0.679375
1700,9.84659061920767,9.25540782339121,0.6758823529411765
1800,9.841271590142973,9.256554714826166,0.6716666666666666
1900,9.837486665612769,9.25348137721038,0.6731578947368421
2000,9.831798217252006,9.245952018146763,0.6725
2100,9.834627741559602,9.243499216853271,0.6761904761904762
2200,9.838155082279908,9.24771802218911,0.6768181818181818
2300,9.838451708279184,9.2469818867706,0.6760869565217391
2400,9.845018852841324,9.248897854719088,0.67875
2500,9.841289550996319,9.248605553774269,0.676
2600,9.841201691196401,9.247538308209721,0.6765384615384615
2700,9.834393852461336,9.246273611839866,0.6748148148148149
2800,9.831990647793905,9.247106261650286,0.6721428571428572
2900,9.836992977723364,9.246876425236845,0.6741379310344827
3000,9.841235029744373,9.249933657222186,0.6723333333333333
3100,9.840931974850777,9.25192028153731,0.6706451612903226
3200,9.841165726398671,9.252076276376645,0.6696875
3300,9.846029316905494,9.253351024175783,0.6715151515151515
3400,9.85123091614989,9.257369216690858,0.6708823529411765
3500,9.850972093794683,9.259677332373474,0.6685714285714286
3600,9.844286487726038,9.256829992612266,0.6669444444444445
3700,9.847611494846921,9.25724036809433,0.6702702702702703
3800,9.844641936832405,9.257619810524966,0.6694736842105263
3900,9.84356404454204,9.254449137956406,0.6712820512820513
4000,9.846679915543824,9.251761772169692,0.6735
4100,9.847626411127422,9.25125832196874,0.6743902439024391
4200,9.849977587077658,9.25182089061925,0.6757142857142857
4300,9.852800153444212,9.25292012494347,0.6762790697674419
4400,9.853389232901561,9.252933535222297,0.6761363636363636
4500,9.855307123692523,9.25308039091039,0.6766666666666666
4600,9.852730833175713,9.24889366520657,0.6778260869565217
4700,9.851843266131436,9.246299225003714,0.6785106382978724
4800,9.854187925792866,9.246170741227548,0.68
4900,9.8563180297638,9.2488827899075,0.679795918367347
5000,9.856824017253055,9.248472749328826,0.6796
5100,9.857833555430842,9.248190337367587,0.6815686274509803
5200,9.860209265204464,9.2500971380545,0.6823076923076923
5300,9.86367268330257,9.251797947651223,0.6830188679245283
5400,9.862737544741549,9.251809402916745,0.682962962962963
5500,9.862135667062274,9.250880241813222,0.6830909090909091
5600,9.859686568348147,9.249012677398138,0.6828571428571428
5700,9.861233995191716,9.249632842655354,0.6836842105263158
5800,9.85813272320134,9.249543418049484,0.6824137931034483
5900,9.858543741165404,9.247848763000222,0.6833898305084746
6000,9.859100730946013,9.248715019658029,0.683
6100,9.862235418231256,9.249289463133502,0.6832786885245902
6200,9.863699607429021,9.249952899554703,0.6830645161290323
6300,9.864113171066817,9.249572595450177,0.6831746031746032
6400,9.86257633809126,9.249446014497364,0.68265625
6500,9.863757277963288,9.250105567914742,0.683076923076923
6600,9.863271902787782,9.251074943853991,0.6828787878787879
6700,9.864486964639772,9.251524656802045,0.6829850746268656
6800,9.863084231873923,9.249863956296098,0.6836764705882353
6900,9.862889698256552,9.248818513305613,0.6842028985507247
7000,9.859113150637906,9.247239630829545,0.6838571428571428
7100,9.859704736640285,9.247619545652332,0.6833802816901409
7200,9.858819869445764,9.247481101310559,0.6830555555555555
7300,9.85965447462665,9.248905759694171,0.6824657534246575
7400,9.859701043332926,9.248624888929488,0.6824324324324325
7500,9.859577040581428,9.248810821647933,0.6821333333333334
7600,9.858317341043504,9.248279616070906,0.6819736842105263
7700,9.857346001311988,9.248719284454118,0.6811688311688312
7800,9.857123393087962,9.248270588366879,0.6811538461538461
7900,9.85834789171947,9.248332382965634,0.6817721518987342
8000,9.85698247619809,9.247383724359123,0.681625
8100,9.85527336715224,9.246259719846151,0.6812345679012346
8200,9.85485323637035,9.246581809586965,0.6814634146341464
8300,9.852347243570723,9.245338112459631,0.6803614457831325
8400,9.85196686172237,9.245962458393668,0.68
8500,9.851209465992955,9.246516482605575,0.6794117647058824
8600,9.850553429878092,9.246721595089893,0.679186046511628
8700,9.85167750219607,9.246386141262668,0.6798850574712644
8800,9.852486079056048,9.246797469366925,0.6804545454545454
8900,9.85125229919413,9.245972300248939,0.6802247191011236
9000,9.851341979498923,9.246621707058548,0.6803333333333333
9100,9.850699709255734,9.246089571501466,0.6805494505494506
9200,9.848325352154092,9.243765477781302,0.681304347826087
9300,9.846955966732567,9.244146115196498,0.6806451612903226
9400,9.846968422476397,9.24398831190768,0.6807446808510639
9500,9.846334681763333,9.243205715333886,0.6811578947368421
9600,9.846176473239806,9.242931082714792,0.6816666666666666
9700,9.846306075832675,9.243717114538697,0.6816494845360824
9800,9.846769769939007,9.243999973431308,0.6812244897959183
9900,9.847466650470725,9.243227993780796,0.682020202020202
10000,9.849469100430884,9.24375659615797,0.6826
