rated_power_mw,intensity_-30%,intensity_base,intensity_+30%,range_width
2.0,15.01860488336951,21.455149833385015,27.891694783400528,12.873089900031017
5.0,12.30749794207438,17.58213991724912,22.856781892423857,10.549283950349476
10.0,11.20006776802708,16.000096811467262,20.800125854907442,9.600058086880361
15.0,10.730239849586752,15.328914070838218,19.92758829208968,9.197348442502928
