lower_central_case,higher_central_case,central_gap_gwp_kgco2,unmodelled_steel_on_lower_to_reach_parity_kg,unmodelled_concrete_on_lower_to_reach_parity_kg
monopile_15mw,windcrete_15mw,870547.5624999995,352448.40587044513,8125110.583333329
monopile_15mw,tlp_15mw,3422415.7961485726,1385593.439736264,31942547.430720013
monopile_15mw,volturnus_15mw,10998735.357142856,4452929.29438982,102654863.33333333
windcrete_15mw,tlp_15mw,2551868.233648573,1033145.033865819,23817436.847386684
windcrete_15mw,volturnus_15mw,10128187.794642856,4100480.8885193747,94529752.75
tlp_15mw,volturnus_15mw,7576319.560994283,3067335.854653556,70712315.90261331
