scenario_id,distribution_shape,windcrete_reinforcement_upper_fraction,capacity_factor_copula_rho,tie_threshold,comparison_group,case_a,case_b,estimand,sample_fraction_a_lower,replicate_sd_sample_fraction_a_lower,replicate_min_sample_fraction_a_lower,replicate_max_sample_fraction_a_lower,sample_fraction_b_lower,replicate_sd_sample_fraction_b_lower,replicate_min_sample_fraction_b_lower,replicate_max_sample_fraction_b_lower,sample_fraction_tie,replicate_sd_sample_fraction_tie,replicate_min_sample_fraction_tie,replicate_max_sample_fraction_tie,n_replicates,n_samples_per_replicate,n_samples_total,replicate_seeds,interpretation,no_central_claim
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.005,ab_reported_material_pair,tlp_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,equal_yield_gco2_per_kwh,0.9966666666666667,0.0004089281382128495,0.9961,0.99705,0.0012833333333333334,0.00029533408577782247,0.00105,0.0017,0.00205,0.00012247448713915895,0.0019,0.0022,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,deployment_gco2_per_kwh,0.9444499999999999,0.0010303721010716032,0.943,0.9453,0.04053333333333333,0.0010656244908763847,0.0393,0.0419,0.015016666666666666,0.000351978534699048,0.01455,0.0154,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,core_equal_yield_gco2_per_kwh,0.11586666666666667,0.001478926036765267,0.1143,0.11785,0.8606333333333334,0.0016146895126377184,0.8586,0.86255,0.023500000000000004,0.00026770630673681736,0.02315,0.0238,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,equal_yield_gco2_per_kwh,0.9999833333333333,2.3570226039548993e-05,0.99995,1.0,0.0,0.0,0.0,0.0,1.6666666666666667e-05,2.3570226039551588e-05,0.0,5e-05,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,deployment_gco2_per_kwh,0.9978333333333333,0.0003091206165165413,0.9974,0.9981,0.0012833333333333334,0.00013123346456686352,0.0011,0.0014,0.0008833333333333333,0.00023213980461973528,0.00065,0.0012,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,monopile_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,monopile_15mw,tlp_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,monopile_15mw,tlp_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,monopile_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,monopile_15mw,volturnus_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,monopile_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,tlp_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
