case_id,rating_mw,structural_scaling_exponent,relative_intensity_to_15mw,analytic_intensity_gco2_per_kwh,engineered_design
monopile_15mw,2.0,0.85,1.3528797289127028,3.1921764458115156,False
monopile_15mw,5.0,0.85,1.1791476456813665,2.782248310944308,False
monopile_15mw,10.0,0.85,1.062707361156803,2.507502577336759,False
monopile_15mw,15.0,0.85,1.0,2.3595419294049433,False
monopile_15mw,2.0,0.95,1.105994744219717,2.609640972687918,False
monopile_15mw,5.0,0.95,1.056467308549538,2.4927789115682244,False
monopile_15mw,10.0,0.95,1.0204801536494528,2.4078657106614827,False
monopile_15mw,15.0,0.95,1.0,2.3595419294049433,False
monopile_15mw,2.0,1.0,1.0,2.3595419294049433,False
monopile_15mw,5.0,1.0,1.0,2.3595419294049433,False
monopile_15mw,10.0,1.0,1.0,2.3595419294049433,False
monopile_15mw,15.0,1.0,1.0,2.3595419294049433,False
monopile_15mw,2.0,1.05,0.9041634286476681,2.1334115209287074,False
monopile_15mw,5.0,1.05,0.9465508226401592,2.2334263543321975,False
monopile_15mw,10.0,1.05,0.9799308653125577,2.312187964623048,False
monopile_15mw,15.0,1.05,1.0,2.3595419294049433,False
monopile_15mw,2.0,1.1,0.8175115057039067,1.9289526754793365,False
monopile_15mw,5.0,1.1,0.8959584598407621,2.1140515529993533,False
monopile_15mw,10.0,1.1,0.960264500792218,2.265784352938345,False
monopile_15mw,15.0,1.1,1.0,2.3595419294049433,False
volturnus_15mw,2.0,0.85,1.3528797289127028,13.977105132014303,False
volturnus_15mw,5.0,0.85,1.1791476456813665,12.18221417442724,False
volturnus_15mw,10.0,0.85,1.062707361156803,10.979226160326766,False
volturnus_15mw,15.0,0.85,1.0,10.331373021050124,False
volturnus_15mw,2.0,0.95,1.105994744219717,11.426444261854819,False
volturnus_15mw,5.0,0.95,1.056467308549538,10.914757849170133,False
volturnus_15mw,10.0,0.95,1.0204801536494528,10.542961127931042,False
volturnus_15mw,15.0,0.95,1.0,10.331373021050124,False
volturnus_15mw,2.0,1.0,1.0,10.331373021050124,False
volturnus_15mw,5.0,1.0,1.0,10.331373021050124,False
volturnus_15mw,10.0,1.0,1.0,10.331373021050124,False
volturnus_15mw,15.0,1.0,1.0,10.331373021050124,False
volturnus_15mw,2.0,1.05,0.9041634286476681,9.341249653350697,False
volturnus_15mw,5.0,1.05,0.9465508226401592,9.779169632077343,False
volturnus_15mw,10.0,1.05,0.9799308653125577,10.124031304384461,False
volturnus_15mw,15.0,1.05,1.0,10.331373021050124,False
volturnus_15mw,2.0,1.1,0.8175115057039067,8.446016314427407,False
volturnus_15mw,5.0,1.1,0.8959584598407621,9.256481059980471,False
volturnus_15mw,10.0,1.1,0.960264500792218,9.920850756556888,False
volturnus_15mw,15.0,1.1,1.0,10.331373021050124,False
windcrete_15mw,2.0,0.85,1.3528797289127028,4.045801255814134,False
windcrete_15mw,5.0,0.85,1.1791476456813665,3.526253608310059,False
windcrete_15mw,10.0,0.85,1.062707361156803,3.17803769577255,False
windcrete_15mw,15.0,0.85,1.0,2.990510663550047,False
windcrete_15mw,2.0,0.95,1.105994744219717,3.3074890764193707,False
windcrete_15mw,5.0,0.95,1.056467308549538,3.159376751909411,False
windcrete_15mw,10.0,0.95,1.0204801536494528,3.0517567814298787,False
windcrete_15mw,15.0,0.95,1.0,2.990510663550047,False
windcrete_15mw,2.0,1.0,1.0,2.990510663550047,False
windcrete_15mw,5.0,1.0,1.0,2.990510663550047,False
windcrete_15mw,10.0,1.0,1.0,2.990510663550047,False
windcrete_15mw,15.0,1.0,1.0,2.990510663550047,False
windcrete_15mw,2.0,1.05,0.9041634286476681,2.7039103749628235,False
windcrete_15mw,5.0,1.05,0.9465508226401592,2.8306703286974653,False
windcrete_15mw,10.0,1.05,0.9799308653125577,2.9304937022590285,False
windcrete_15mw,15.0,1.05,1.0,2.990510663550047,False
windcrete_15mw,2.0,1.1,0.8175115057039067,2.444776875382388,False
windcrete_15mw,5.0,1.1,0.8959584598407621,2.679373328251675,False
windcrete_15mw,10.0,1.1,0.960264500792218,2.8716812294476903,False
windcrete_15mw,15.0,1.1,1.0,2.990510663550047,False
tlp_15mw,2.0,0.85,1.3528797289127028,6.548063199830529,False
tlp_15mw,5.0,0.85,1.1791476456813665,5.7071838248758215,False
tlp_15mw,10.0,0.85,1.062707361156803,5.143602062374382,False
tlp_15mw,15.0,0.85,1.0,4.8400926260408585,False
tlp_15mw,2.0,0.95,1.105994744219717,5.353117005937798,False
tlp_15mw,5.0,0.95,1.056467308549538,5.113399629763851,False
tlp_15mw,10.0,0.95,1.0204801536494528,4.939218466699758,False
tlp_15mw,15.0,0.95,1.0,4.8400926260408585,False
tlp_15mw,2.0,1.0,1.0,4.8400926260408585,False
tlp_15mw,5.0,1.0,1.0,4.8400926260408585,False
tlp_15mw,10.0,1.0,1.0,4.8400926260408585,False
tlp_15mw,15.0,1.0,1.0,4.8400926260408585,False
tlp_15mw,2.0,1.05,0.9041634286476681,4.376234743733399,False
tlp_15mw,5.0,1.05,0.9465508226401592,4.581393656833543,False
tlp_15mw,10.0,1.05,0.9799308653125577,4.742956155229148,False
tlp_15mw,15.0,1.05,1.0,4.8400926260408585,False
tlp_15mw,2.0,1.1,0.8175115057039067,3.9568314104610383,False
tlp_15mw,5.0,1.1,0.8959584598407621,4.336521934714197,False
tlp_15mw,10.0,1.1,0.960264500792218,4.647769129333221,False
tlp_15mw,15.0,1.1,1.0,4.8400926260408585,False
